Product Name,Competitor URL,Notes
Trunk Horror Prop,https://www.trunkterror.com/products/horror-trunk-kit,
The Freaky Nikki Costume,https://www.dollskill.com/products/freaky-nikki-zebra-halter-top?cf=red,
Sol Study Light,https://tykapryde.com/the-sol-light,
MC Overworld Table,https://craftables.shop/products/overworld-table,
Wicked For Good Tumbler,https://babies-amity.com/products/wicked-for-good-tumbler,
Vanity Chain Pouch,https://urbanglaam.com/products/vanity-chain-pouch,
Starbucks Bearista Cup,https://www.veloraeco.com/products/glass-bearista-cold-cup-limited-edition,
iPhone Pocket,https://www.phonepocket.shop/products/phone-pocket,
Supreme Black Track Jacket,https://sofly.shop/products/supreme-umbro-track-jacket,
Hello Kitty Stanley,https://www.goodchoyice.com/products/hello-kitty-sweet-hearts-40-oz-car-cup,
NYC Christmas Hoodie,https://sykward.com/products/%F0%9D%97%A1%F0%9D%97%AC%F0%9D%97%96-%F0%9D%97%96%F0%9D%97%9B%F0%9D%97%A5%F0%9D%97%9C%F0%9D%97%A6%F0%9D%97%A7%F0%9D%97%A0%F0%9D%97%94%F0%9D%97%A6-%F0%9D%97%9B%F0%9D%97%A2%F0%9D%97%A2%F0%9D%97%97%F0%9D%97%9C%F0%9D%97%98,
